"test_num","test_name","metric_name","status","metric_val","commit_message","commit_SHA","commit_date","benchmark_date"
2,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0013693,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.000981,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.0051729,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0050485,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.0009168,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.0011774,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.0022158,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(seg.mean=scalar, count=vector) is fine","runtime (in seconds)","Pass",0.0017347,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"PoissonLoss(seg.mean=2-vector, count=3-vector) is an error","runtime (in seconds)","Pass",0.0049847,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
2,"test-PoissonLoss.R","runtime (in seconds)","Pass",0.0207111,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:24
3,"PoissonLoss(seg.mean=0, count=0) == 0","runtime (in seconds)","Pass",0.0010854,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(seg.mean=0, count>0) == Inf","runtime (in seconds)","Pass",0.0009765,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(seg.mean<0) undefined","runtime (in seconds)","Pass",0.0045746,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(weight<0) undefined","runtime (in seconds)","Pass",0.0052498,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(count=2.5) is 0","runtime (in seconds)","Pass",0.001924,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(count= -2) is 0","runtime (in seconds)","Pass",0.0009608,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(count=1 or 0) == -dpois(log=TRUE)","runtime (in seconds)","Pass",0.0017268,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(seg.mean=scalar, count=vector) is fine","runtime (in seconds)","Pass",0.0017238,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
3,"PoissonLoss(seg.mean=2-vector, count=3-vector) is an error","runtime (in seconds)","Pass",0.0048033,"Update main.yml","b8f85b90f241656b3e0e0449ae6fdfbb03acf6a5",2020-05-07 17:25:57,2020-05-07 17:36:25
